Month,data_source,Country,Tx_Type,CC VS APM,First Payment Method,Fail Reason,Order Count,Success Order Count,Recovery Order Count,Fail Order Count
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,klarna,NOT MAPPED,22600,22410,189,1
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,klarna,Payment Instrument Issues,999,0,0,999
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,klarna,unknown,47,45,1,1
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,3,3,0,0
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,no_payment_method,Technical Issues,72,0,0,72
2026-01,Foodora,Sweden,MIT,Alternative Payment Method,no_payment_method,unknown,8,0,0,8
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Drops,2,0,0,2
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Fraud Risk,2,0,0,2
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Generic Rejection,132,0,0,132
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Insufficient Funds,1912,0,0,1912
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,NOT MAPPED,15393,14292,1075,26
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Payment Instrument Issues,337,0,0,337
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,Third Party System Error,24,0,0,24
2026-01,Foodora,Sweden,MIT,Credit Card,applepay,unknown,88,75,10,3
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Drops,108,0,0,108
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Fraud Risk,2,0,0,2
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Generic Rejection,15,0,0,15
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Insufficient Funds,1116,0,0,1116
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,NOT MAPPED,15777,14747,1009,21
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Payment Instrument Issues,251,0,0,251
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,Third Party System Error,25,0,0,25
2026-01,Foodora,Sweden,MIT,Credit Card,credit_card,unknown,126,111,11,4
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,Drops,3606,0,0,3606
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,Insufficient Funds,731,0,0,731
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,NOT MAPPED,7547,7375,155,17
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,Payment Instrument Issues,694,0,0,694
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,Third Party System Error,53,0,0,53
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,antfinancial_bkash,unknown,11,7,0,2
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,invoice,NOT MAPPED,744,744,0,0
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,no_payment,unknown,31,0,0,0
2026-01,Foodpanda,Bangladesh,CIT,Alternative Payment Method,require_payment,NOT MAPPED,42,0,0,0
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,cart,NOT MAPPED,1027,1023,0,2
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,cart,Risk / Fraud Blocks,155,13,0,142
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Drops,749,0,0,749
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Fraud Risk,8,0,0,8
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Generic Rejection,72,0,0,72
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Insufficient Funds,36,0,0,36
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,NOT MAPPED,1791,1675,91,25
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Payment Instrument Issues,64,0,0,64
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,Third Party System Error,38,0,0,38
2026-01,Foodpanda,Bangladesh,CIT,Credit Card,credit_card,unknown,60,0,0,59
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,Drops,432,0,0,432
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,Insufficient Funds,4265,0,0,4265
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,NOT MAPPED,23523,19772,3750,1
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,Payment Instrument Issues,1964,0,0,1964
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,Third Party System Error,136,0,0,136
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,antfinancial_bkash,unknown,16,12,3,1
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,invoice,NOT MAPPED,2356,2356,0,0
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,no_payment_method,NOT MAPPED,5,5,0,0
2026-01,Foodpanda,Bangladesh,MIT,Alternative Payment Method,no_payment_method,Technical Issues,170,0,0,170
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Drops,88,0,0,88
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Fraud Risk,8,0,0,8
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Generic Rejection,582,0,0,582
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Insufficient Funds,1028,0,0,1028
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,NOT MAPPED,4572,4347,175,50
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Payment Instrument Issues,205,0,0,205
2026-01,Foodpanda,Bangladesh,MIT,Credit Card,credit_card,Third Party System Error,99,0,0,99
